Trade_Time,Price_USD,Volume_BTC,Symbol
2025-10-01 16:17:13.722,117681.8,0.001,BTCUSDT
2025-10-01 16:17:13.728,117681.8,0.001,BTCUSDT
2025-10-01 16:17:13.728,117681.8,0.146,BTCUSDT
2025-10-01 16:17:13.728,117681.6,0.042,BTCUSDT
2025-10-01 16:17:13.728,117681.4,0.002,BTCUSDT
2025-10-01 16:17:13.728,117681.0,0.075,BTCUSDT
2025-10-01 16:17:13.728,117680.8,0.003,BTCUSDT
2025-10-01 16:17:13.728,117680.8,0.002,BTCUSDT
2025-10-01 16:17:13.736,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.736,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.736,117680.7,0.01,BTCUSDT
2025-10-01 16:17:13.737,117680.7,0.012,BTCUSDT
2025-10-01 16:17:13.737,117680.7,0.008,BTCUSDT
2025-10-01 16:17:13.743,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.744,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.744,117680.7,0.099,BTCUSDT
2025-10-01 16:17:13.788,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.871,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.874,117680.8,0.15,BTCUSDT
2025-10-01 16:17:13.874,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.874,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.874,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.875,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.875,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.875,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.875,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.875,117680.7,0.001,BTCUSDT
2025-10-01 16:17:13.933,117680.7,0.06,BTCUSDT
2025-10-01 16:17:13.933,117680.7,0.022,BTCUSDT
2025-10-01 16:17:13.933,117680.7,0.003,BTCUSDT
2025-10-01 16:17:14.042,117680.7,0.003,BTCUSDT
2025-10-01 16:17:14.042,117680.7,0.001,BTCUSDT
2025-10-01 16:17:14.042,117680.7,0.046,BTCUSDT
2025-10-01 16:17:14.050,117680.7,0.123,BTCUSDT
2025-10-01 16:17:14.050,117680.7,0.005,BTCUSDT
2025-10-01 16:17:14.050,117680.7,0.001,BTCUSDT
2025-10-01 16:17:14.050,117680.7,0.002,BTCUSDT
2025-10-01 16:17:14.050,117680.7,0.002,BTCUSDT
2025-10-01 16:17:14.050,117680.6,0.001,BTCUSDT
2025-10-01 16:17:14.050,117680.6,0.001,BTCUSDT
2025-10-01 16:17:14.050,117680.6,0.002,BTCUSDT
2025-10-01 16:17:14.050,117680.5,0.001,BTCUSDT
2025-10-01 16:17:14.050,117680.2,0.002,BTCUSDT
2025-10-01 16:17:14.096,117680.0,0.001,BTCUSDT
2025-10-01 16:17:14.096,117680.0,0.007,BTCUSDT
2025-10-01 16:17:14.290,117680.0,0.005,BTCUSDT
2025-10-01 16:17:14.330,117680.0,0.011,BTCUSDT
2025-10-01 16:17:14.383,117680.0,0.001,BTCUSDT
2025-10-01 16:17:14.425,117680.0,0.003,BTCUSDT
2025-10-01 16:17:14.469,117680.1,0.002,BTCUSDT
2025-10-01 16:17:14.506,117680.0,0.001,BTCUSDT
2025-10-01 16:17:14.786,117680.0,0.125,BTCUSDT
2025-10-01 16:17:14.907,117680.0,0.085,BTCUSDT
2025-10-01 16:17:15.042,117680.1,0.001,BTCUSDT
2025-10-01 16:17:15.059,117680.0,0.103,BTCUSDT
2025-10-01 16:17:15.102,117680.0,0.03,BTCUSDT
2025-10-01 16:17:15.148,117680.0,0.012,BTCUSDT
2025-10-01 16:17:15.277,117680.0,0.084,BTCUSDT
2025-10-01 16:17:15.317,117680.1,0.004,BTCUSDT
2025-10-01 16:17:15.395,117680.1,0.001,BTCUSDT
2025-10-01 16:17:15.415,117680.0,0.01,BTCUSDT
2025-10-01 16:17:15.464,117680.0,0.014,BTCUSDT
2025-10-01 16:17:15.519,117680.0,0.046,BTCUSDT
2025-10-01 16:17:15.884,117680.0,0.085,BTCUSDT
2025-10-01 16:17:16.004,117680.1,0.021,BTCUSDT
2025-10-01 16:17:16.025,117680.1,0.001,BTCUSDT
2025-10-01 16:17:16.296,117680.0,1.0,BTCUSDT
2025-10-01 16:17:16.530,117680.1,0.005,BTCUSDT
2025-10-01 16:17:16.683,117680.0,0.001,BTCUSDT
2025-10-01 16:17:16.700,117680.1,0.01,BTCUSDT
2025-10-01 16:17:16.854,117680.0,0.004,BTCUSDT
2025-10-01 16:17:16.873,117680.0,0.085,BTCUSDT
2025-10-01 16:17:17.046,117680.0,0.001,BTCUSDT
2025-10-01 16:17:17.080,117680.0,0.001,BTCUSDT
2025-10-01 16:17:17.136,117680.1,0.002,BTCUSDT
2025-10-01 16:17:17.249,117680.0,0.885,BTCUSDT
2025-10-01 16:17:17.525,117680.0,0.09,BTCUSDT
2025-10-01 16:17:17.907,117680.0,0.085,BTCUSDT
2025-10-01 16:17:18.006,117680.0,0.024,BTCUSDT
2025-10-01 16:17:18.043,117680.1,0.042,BTCUSDT
2025-10-01 16:17:18.113,117680.0,0.2,BTCUSDT
2025-10-01 16:17:18.179,117680.1,0.006,BTCUSDT
2025-10-01 16:17:18.228,117680.1,0.022,BTCUSDT
2025-10-01 16:17:18.471,117680.0,0.008,BTCUSDT
2025-10-01 16:17:18.563,117680.0,0.002,BTCUSDT
2025-10-01 16:17:18.606,117680.0,0.001,BTCUSDT
2025-10-01 16:17:18.643,117680.0,0.107,BTCUSDT
2025-10-01 16:17:18.827,117680.0,0.085,BTCUSDT
2025-10-01 16:17:19.015,117680.0,0.027,BTCUSDT
2025-10-01 16:17:19.335,117680.0,0.001,BTCUSDT
2025-10-01 16:17:19.438,117680.0,0.028,BTCUSDT
2025-10-01 16:17:19.537,117680.0,0.005,BTCUSDT
2025-10-01 16:17:19.579,117680.1,0.007,BTCUSDT
2025-10-01 16:17:19.608,117680.0,0.001,BTCUSDT
2025-10-01 16:17:19.618,117680.0,0.01,BTCUSDT
2025-10-01 16:17:19.628,117680.0,0.008,BTCUSDT
2025-10-01 16:17:19.827,117680.0,0.085,BTCUSDT
2025-10-01 16:17:20.021,117680.0,0.002,BTCUSDT
2025-10-01 16:17:20.104,117680.1,0.107,BTCUSDT
2025-10-01 16:17:20.352,117680.1,0.03,BTCUSDT
2025-10-01 16:17:20.375,117680.0,0.016,BTCUSDT
2025-10-01 16:17:20.387,117680.1,0.178,BTCUSDT
2025-10-01 16:17:20.391,117680.0,0.001,BTCUSDT
2025-10-01 16:17:20.392,117680.0,0.01,BTCUSDT
2025-10-01 16:17:20.431,117680.0,0.025,BTCUSDT
2025-10-01 16:17:20.478,117680.0,0.003,BTCUSDT
2025-10-01 16:17:20.611,117680.0,0.001,BTCUSDT
2025-10-01 16:17:20.704,117680.0,0.007,BTCUSDT
2025-10-01 16:17:20.789,117680.1,0.002,BTCUSDT
2025-10-01 16:17:20.903,117680.0,0.085,BTCUSDT
2025-10-01 16:17:20.945,117680.1,0.001,BTCUSDT
2025-10-01 16:17:21.010,117680.0,0.002,BTCUSDT
2025-10-01 16:17:21.257,117680.0,0.005,BTCUSDT
2025-10-01 16:17:21.278,117680.1,0.011,BTCUSDT
2025-10-01 16:17:21.306,117680.0,0.047,BTCUSDT
2025-10-01 16:17:21.475,117680.1,0.004,BTCUSDT
2025-10-01 16:17:21.604,117680.1,0.042,BTCUSDT
2025-10-01 16:17:21.777,117680.0,0.004,BTCUSDT
2025-10-01 16:17:21.784,117680.0,0.002,BTCUSDT
2025-10-01 16:17:21.804,117680.1,0.029,BTCUSDT
2025-10-01 16:17:21.852,117680.0,0.085,BTCUSDT
2025-10-01 16:17:21.857,117680.1,0.003,BTCUSDT
2025-10-01 16:17:22.093,117680.0,0.004,BTCUSDT
2025-10-01 16:17:22.377,117680.0,0.003,BTCUSDT
2025-10-01 16:17:22.449,117680.0,0.006,BTCUSDT
2025-10-01 16:17:22.543,117680.1,0.002,BTCUSDT
2025-10-01 16:17:22.584,117680.0,0.008,BTCUSDT
2025-10-01 16:17:22.668,117680.1,0.017,BTCUSDT
2025-10-01 16:17:22.680,117680.1,0.002,BTCUSDT
2025-10-01 16:17:22.713,117680.0,0.003,BTCUSDT
2025-10-01 16:17:22.790,117680.0,0.004,BTCUSDT
2025-10-01 16:17:22.825,117680.0,0.085,BTCUSDT
2025-10-01 16:17:22.930,117680.0,0.034,BTCUSDT
2025-10-01 16:17:23.181,117680.0,0.116,BTCUSDT
2025-10-01 16:17:23.231,117680.0,0.005,BTCUSDT
2025-10-01 16:17:23.527,117680.1,0.001,BTCUSDT
2025-10-01 16:17:23.547,117680.0,0.076,BTCUSDT
2025-10-01 16:17:23.713,117680.0,0.097,BTCUSDT
2025-10-01 16:17:23.714,117680.1,0.001,BTCUSDT
2025-10-01 16:17:23.755,117680.1,0.004,BTCUSDT
2025-10-01 16:17:23.769,117680.0,0.001,BTCUSDT
2025-10-01 16:17:23.831,117680.0,0.085,BTCUSDT
2025-10-01 16:17:23.856,117680.1,0.001,BTCUSDT
2025-10-01 16:17:23.891,117680.1,0.006,BTCUSDT
2025-10-01 16:17:23.907,117680.1,0.002,BTCUSDT
2025-10-01 16:17:24.162,117680.0,0.163,BTCUSDT
2025-10-01 16:17:24.165,117680.0,0.007,BTCUSDT
2025-10-01 16:17:24.276,117680.0,0.008,BTCUSDT
2025-10-01 16:17:24.403,117680.0,0.131,BTCUSDT
2025-10-01 16:17:24.487,117680.1,0.055,BTCUSDT
2025-10-01 16:17:24.497,117680.1,0.001,BTCUSDT
2025-10-01 16:17:24.498,117680.0,0.005,BTCUSDT
2025-10-01 16:17:24.629,117680.0,0.008,BTCUSDT
2025-10-01 16:17:24.747,117680.0,0.151,BTCUSDT
2025-10-01 16:17:24.792,117680.0,0.085,BTCUSDT
